disease_id,disease_name,disease_name_upper
13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019,osteogenesis imperfecta,OSTEOGENESIS IMPERFECTA
11160_13119_13978_12060_12327_12670_13210_11067_12903_12293_12376_12375_11767_10965_12460_10967_11602_12002_11762_13386_14363_10933_12452_13365_13250_13826_12445_12326_11360_11392_13985_14739_11351_13489_12421_9076_13738_11279_14675_11286_13249_12485_10986_12420_14428_12170_12091_12442_11364_13984_12418_14237_13010_12355_912_14469_12273_13269_12602_11774_10807_12977_12003_12370_11192_10987_11991_12333_10860_13929_13471_11912_13537_13963_11799_13215_11553_14182_19588_14849,autosomal recessive nonsyndromic deafness,AUTOSOMAL RECESSIVE NONSYNDROMIC DEAFNESS
8099_12497_12498,congenital stationary night blindness autosomal dominant,CONGENITAL STATIONARY NIGHT BLINDNESS AUTOSOMAL DOMINANT
14854_14293_14470_12380_11832_14603_14853_11761_11032_14594_12975_10973_12090_14740_12902_10915_11058_14283_11519_12083_7424_11673_11389_13632_11103_11226_11102_12974_12086_11159_11074_11031_10963_13823_11660_11893_13305_11708_11994_12030_11625_11350_13114_12023_11568_11920_12976_14738_14291_10817_11480_13593_11657_19587,autosomal dominant nonsyndromic deafness,AUTOSOMAL DOMINANT NONSYNDROMIC DEAFNESS
33202_32776_30905_33670_33200_32740_32732_33201_54860_32761_32639_29142_32762_33198_32749_33199,"deafness, autosomal recessive","DEAFNESS, AUTOSOMAL RECESSIVE"
11396_7422,keratoderma hereditarium mutilans,KERATODERMA HEREDITARIUM MUTILANS
14828_14829_9454_13553_133,immunodeficiency-centromeric instability-facial anomalies syndrome,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME
8019,mullerian aplasia and hyperandrogenism,MULLERIAN APLASIA AND HYPERANDROGENISM
11043,"myelodysplasia, immunodeficiency, facial dysmorphism, short stature, and psychomotor delay","MYELODYSPLASIA, IMMUNODEFICIENCY, FACIAL DYSMORPHISM, SHORT STATURE, AND PSYCHOMOTOR DELAY"
9260_9261_9262_18149,GM1 gangliosidosis,GM1 GANGLIOSIDOSIS
8878,"bone dysplasia, lethal Holmgren type","BONE DYSPLASIA, LETHAL HOLMGREN TYPE"
8905,predisposition to invasive fungal disease due to CARD9 deficiency,PREDISPOSITION TO INVASIVE FUNGAL DISEASE DUE TO CARD9 DEFICIENCY
14083_13288_12987_13287_13289_20729_14840_13290_11096_16462_15977,agammaglobulinemia,AGAMMAGLOBULINEMIA
7162,asymmetric short stature syndrome,ASYMMETRIC SHORT STATURE SYNDROME
9699,action myoclonus-renal failure syndrome,ACTION MYOCLONUS-RENAL FAILURE SYNDROME
14986_14987_10351_10953_13565_9213_12565_13248_12187_13499_14108_44325_54748_11325_9214_14985_9215_11584_12186_13566_14638,Fanconi anemia complementation group,FANCONI ANEMIA COMPLEMENTATION GROUP
7157_14028_16675_7364_32750_20820_30847_32751_13698,"arthrogryposis, distal,","ARTHROGRYPOSIS, DISTAL,"
14897,"portal hypertension, noncirrhotic","PORTAL HYPERTENSION, NONCIRRHOTIC"
12035,craniosynostosis-intracranial calcifications syndrome,CRANIOSYNOSTOSIS-INTRACRANIAL CALCIFICATIONS SYNDROME
10023,combined immunodeficiency due to ZAP70 deficiency,COMBINED IMMUNODEFICIENCY DUE TO ZAP70 DEFICIENCY
32884,"ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies","ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES"
32911_33258_32917_33668_33665_30058_33260_32802_33259_29137_30998,"deafness, autosomal dominant","DEAFNESS, AUTOSOMAL DOMINANT"
14076_13519_9136_14600_13520_27353,"dyskeratosis congenita, autosomal recessive","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE"
14624,Brown syndrome,BROWN SYNDROME
54593_54716_12106_13923_11437_14623_11488_14484_9617_14473_12989_54806_14173_12029_54804_32583_14908_32694_13849_14660_7988_14730_54805_54761_30929_30928_16660,primary microcephaly,PRIMARY MICROCEPHALY
14798_7217_7218_14032_7219_20701_7222_7216_7221_7223_11757_7220_12658_13244_19679_19677_7215_19676_21004_19678_22599,brachydactyly,BRACHYDACTYLY
10090,Summitt syndrome,SUMMITT SYNDROME
30027_14756_13888_8590_11201_12671,"tremor, hereditary essential","TREMOR, HEREDITARY ESSENTIAL"
7099,familial visceral amyloidosis,FAMILIAL VISCERAL AMYLOIDOSIS
24541_13818,trichohepatoenteric syndrome,TRICHOHEPATOENTERIC SYNDROME
13285_9413_13286_13283_13284_11864_14697_14260_13862_54691,"immunodeficiency, common variable","IMMUNODEFICIENCY, COMMON VARIABLE"
8196,parastremmatic dwarfism,PARASTREMMATIC DWARFISM
9614_9613_17214_17685,vitamin B12-responsive methylmalonic acidemia,VITAMIN B12-RESPONSIVE METHYLMALONIC ACIDEMIA
11870,annular epidermolytic ichthyosis,ANNULAR EPIDERMOLYTIC ICHTHYOSIS
12015_9762_8654_8106_13903_5712,congenital nystagmus,CONGENITAL NYSTAGMUS
7774,hyperreflexia (disease),HYPERREFLEXIA (DISEASE)
11063,"hidrotic ectodermal dysplasia, Christianson-Fourie type","HIDROTIC ECTODERMAL DYSPLASIA, CHRISTIANSON-FOURIE TYPE"
7315,cherubism,CHERUBISM
11107,congenital hypotrichosis with juvenile macular dystrophy,CONGENITAL HYPOTRICHOSIS WITH JUVENILE MACULAR DYSTROPHY
12345,acral peeling skin syndrome,ACRAL PEELING SKIN SYNDROME
32659,"mucocutaneous ulceration, chronic","MUCOCUTANEOUS ULCERATION, CHRONIC"
7447,autosomal dominant vibratory urticaria,AUTOSOMAL DOMINANT VIBRATORY URTICARIA
32914_12748_14030_14215_14193_13854_14123_12978_12088_32664_13174_9484_32757_32874_32637_14192_13979_12906_14465_13434_14909_32872_13525_14202_14750_14910_54843_13940_14211_14216_32924_12918_14378_14203_12979_12085_12571_14657_13435_11718_33204_16575_12087_12844,primary ciliary dyskinesia,PRIMARY CILIARY DYSKINESIA
8470_30074,spondyloepiphyseal dysplasia with punctate corneal dystrophy,SPONDYLOEPIPHYSEAL DYSPLASIA WITH PUNCTATE CORNEAL DYSTROPHY
11015_12527_14799_14673_12489_12260_12665_11104_14565_14075_13484_7279_7287_14111_13744_10544_32735_12395_13411_10948_7278_12688_14110_12336_7288_7282_7280_7283_7286_11547_12437_7290_11413_12701_7281_7285_13859_7284_11162_5129_45050_11587_11591_11808_13067_12175,cataract,CATARACT
13843,intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,INTESTINAL OBSTRUCTION IN THE NEWBORN DUE TO GUANYLATE CYCLASE 2C DEFICIENCY
12203,familial hyperthyroidism due to mutations in TSH receptor,FAMILIAL HYPERTHYROIDISM DUE TO MUTATIONS IN TSH RECEPTOR
11732,familial digital arthropathy-brachydactyly,FAMILIAL DIGITAL ARTHROPATHY-BRACHYDACTYLY
8237,phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome,PHOCOMELIA-ECTRODACTYLY-DEAFNESS-SINUS ARRHYTHMIA SYNDROME
10214_10215_10216_10210_10211_12531_10212_10213_19600,xeroderma pigmentosum,XERODERMA PIGMENTOSUM
7207,Böök syndrome,BÖÖK SYNDROME
14848,TELO2-related intellectual disability-neurodevelopmental disorder,TELO2-RELATED INTELLECTUAL DISABILITY-NEURODEVELOPMENTAL DISORDER
