drugbank_id,drug_name,drug_name_upper
DB09130,Copper,COPPER
DB09140,Oxygen,OXYGEN
DB00180,Flunisolide,FLUNISOLIDE
DB00240,Alclometasone,ALCLOMETASONE
DB00253,Medrysone,MEDRYSONE
DB00324,Fluorometholone,FLUOROMETHOLONE
DB00394,Beclomethasone dipropionate,BECLOMETHASONE DIPROPIONATE
DB00443,Betamethasone,BETAMETHASONE
DB00588,Fluticasone propionate,FLUTICASONE PROPIONATE
DB00591,Fluocinolone acetonide,FLUOCINOLONE ACETONIDE
DB00596,Ulobetasol,ULOBETASOL
DB00620,Triamcinolone,TRIAMCINOLONE
DB00635,Prednisone,PREDNISONE
DB00648,Mitotane,MITOTANE
DB00663,Flumethasone,FLUMETHASONE
DB00687,Fludrocortisone,FLUDROCORTISONE
DB00741,Hydrocortisone,HYDROCORTISONE
DB00846,Flurandrenolide,FLURANDRENOLIDE
DB00860,Prednisolone,PREDNISOLONE
DB00896,Rimexolone,RIMEXOLONE
DB01013,Clobetasol propionate,CLOBETASOL PROPIONATE
DB01047,Fluocinonide,FLUOCINONIDE
DB01222,Budesonide,BUDESONIDE
DB01384,Paramethasone,PARAMETHASONE
DB01410,Ciclesonide,CICLESONIDE
DB05688,CRx-119,CRX-119
DB08906,Fluticasone furoate,FLUTICASONE FUROATE
DB09124,Medrogestone,MEDROGESTONE
DB13867,Fluticasone,FLUTICASONE
DB14538,Hydrocortisone aceponate,HYDROCORTISONE ACEPONATE
DB14539,Hydrocortisone acetate,HYDROCORTISONE ACETATE
DB14540,Hydrocortisone butyrate,HYDROCORTISONE BUTYRATE
DB14541,Hydrocortisone cypionate,HYDROCORTISONE CYPIONATE
DB14542,Hydrocortisone phosphate,HYDROCORTISONE PHOSPHATE
DB14543,Hydrocortisone probutate,HYDROCORTISONE PROBUTATE
DB14544,Hydrocortisone valerate,HYDROCORTISONE VALERATE
DB14631,Prednisolone phosphate,PREDNISOLONE PHOSPHATE
DB14669,Betamethasone phosphate,BETAMETHASONE PHOSPHATE
DB15566,Prednisolone acetate,PREDNISOLONE ACETATE
DB09479,Rubidium Rb-82,RUBIDIUM RB-82
DB00162,Vitamin A,VITAMIN A
DB06755,Beta carotene,BETA CAROTENE
DB00163,Vitamin E,VITAMIN E
DB03917,N-Ethylretinamide,N-ETHYLRETINAMIDE
DB05076,Fenretinide,FENRETINIDE
DB06985,2-[({4-[2-(trifluoromethyl)phenyl]piperidin-1-yl}carbonyl)amino]benzoic acid,2-[({4-[2-(TRIFLUOROMETHYL)PHENYL]PIPERIDIN-1-YL}CARBONYL)AMINO]BENZOIC ACID
DB00255,Diethylstilbestrol,DIETHYLSTILBESTROL
DB00279,Liothyronine,LIOTHYRONINE
DB00451,Levothyroxine,LEVOTHYROXINE
DB00586,Diclofenac,DICLOFENAC
DB00861,Diflunisal,DIFLUNISAL
DB01093,Dimethyl sulfoxide,DIMETHYL SULFOXIDE
DB01583,Liotrix,LIOTRIX
DB01645,Genistein,GENISTEIN
DB01751,Tetraiodothyroacetic acid,TETRAIODOTHYROACETIC ACID
DB01838,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone","6,4'-DIHYDROXY-3-METHYL-3',5'-DIBROMOFLAVONE"
DB02179,O-Trifluoromethylphenyl Anthranilic Acid,O-TRIFLUOROMETHYLPHENYL ANTHRANILIC ACID
DB02266,Flufenamic acid,FLUFENAMIC ACID
DB02417,"2,4,6-Tribromophenol","2,4,6-TRIBROMOPHENOL"
DB02698,"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid","N-(M-TRIFLUOROMETHYLPHENYL) PHENOXAZINE-4,6-DICARBOXYLIC ACID"
DB02709,Resveratrol,RESVERATROL
DB03167,Pentabromophenol,PENTABROMOPHENOL
DB03239,"3',5'-Dinitro-N-Acetyl-L-Thyronine","3',5'-DINITRO-N-ACETYL-L-THYRONINE"
DB03346,"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol","3,3',5,5'-TETRACHLOROBIPHENYL-4,4'-DIOL"
